20230907195016, 14, "Stanley #2 Philips Screwdriver", 6.95, 3, 0.0, $20.85, , September 7, 2023 19:50:16 EDT

20230911225153, 22389, "Swingline Model B2200 stapler", 18.0, 340, 20.0, $4896.0, , September 11, 2023 22:51:53 EDT
20230911225153, 2190, "Hefty 30 gal with handles - box 40", 19.0, 4, 0.0, $76.0, , September 11, 2023 22:51:53 EDT
20230911225153, 228865X, "3M Super 33+ electrical tape box 10", 32.5, 22, 20.0, $572.0, , September 11, 2023 22:51:53 EDT
20230911225153, 29741, "Plush teddy bear 8 inch", 24.0, 1, 0.0, $24.0, , September 11, 2023 22:51:53 EDT

20230911225238, 115693, "Colnago C64 - Mapei frame", 6500.0, 1, 0.0, $6500.0, , September 11, 2023 22:52:38 EDT
20230911225238, 582913, "Look Keo 2 Max pedals", 135.0, 3, 0.0, $405.0, , September 11, 2023 22:52:38 EDT
20230911225238, 4499120, "M&Ms dark chocolate w/peanuts - 3oz", 2.5, 2, 0.0, $5.0, , September 11, 2023 22:52:38 EDT
20230911225238, 89476, "Assos T-Evo shorts", 299.95, 1, 0.0, $299.95, , September 11, 2023 22:52:38 EDT
20230911225238, RTX3452, "Laser Pointer", 38.8, 1, 0.0, $38.8, , September 11, 2023 22:52:38 EDT

20230911225404, 14, "Stanley #2 Philips Screwdriver", 6.95, 10, 15.0, $59.07, , September 11, 2023 22:54:04 EDT
20230911225404, 14909, "1/4in - 28tpi SS nuts", 1.0, 1000, 20.0, $800.0, , September 11, 2023 22:54:04 EDT
20230911225404, 298765, "3x5 index cards - 100 count", 2.25, 14000, 20.0, $25200.0, , September 11, 2023 22:54:04 EDT
20230911225404, 38712987, "Wilson NCAA official softball - 1 ea", 5.5, 1, 0.0, $5.5, , September 11, 2023 22:54:04 EDT

20230911225447, 23, "Tamiya 2oz paint - ferrari red", 2.39, 2, 0.0, $4.78, , September 11, 2023 22:54:47 EDT
20230911225447, 97634, "Campagnolo 12 spd crankset - 53/39 175mm", 750.0, 1, 0.0, $750.0, , September 11, 2023 22:54:47 EDT
20230911225447, 387, "Brachs butterscotch hard candy - 1 lb", 4.5, 1, 0.0, $4.5, , September 11, 2023 22:54:47 EDT
20230911225447, 113355, "The Bourne Identity - blu-ray", 15.95, 5, 10.0, $71.78, , September 11, 2023 22:54:47 EDT
20230911225447, 19981, "Pledge furniture polish 13oz", 6.5, 1, 0.0, $6.5, , September 11, 2023 22:54:47 EDT

20230911225613, 65435689, "12x16 paper cutter with ruler", 35.95, 4, 0.0, $143.8, , September 11, 2023 22:56:13 EDT
20230911225613, 97634, "Campagnolo 12 spd crankset - 53/39 175mm", 750.0, 2, 0.0, $1500.0, , September 11, 2023 22:56:13 EDT
20230911225613, 1111, "Top Secret Twenty One - Janet Evanovich", 8.99, 1, 0.0, $8.99, , September 11, 2023 22:56:13 EDT
20230911225613, 228865, "3M Super 33+ electrical tape", 3.5, 4, 0.0, $14.0, , September 11, 2023 22:56:13 EDT
20230911225613, 67913, "Gios Torino t-shirt size XXL", 25.0, 1, 0.0, $25.0, , September 11, 2023 22:56:13 EDT

20230912001036, 14, "Stanley #2 Philips Screwdriver", 6.95, 3, 0.0, $20.85, , September 12, 2023 00:10:36 EDT
20230912001036, 14, "Stanley #2 Philips Screwdriver", 6.95, 10, 15.0, $59.07, , September 12, 2023 00:10:36 EDT

